Transaction_ID,Date,Amount,Original_Category,ZeroShot_Category,ZeroShot_Violation,ZeroShot_Summary,FewShot_Category,FewShot_Violation,FewShot_Summary
TXN-1001,2026-06-30,218.58,Software,Software,Low,Monthly software subscription renewal fee,Meals,High,Excessive individual meal cost lacking documentation
TXN-1002,2026-06-23,83.89,Software,Software,Low,Monthly software subscription renewal fee,Meals,High,Excessive individual meal cost lacking documentation
TXN-1003,2026-06-10,380.0,Entertainment,Entertainment,Low,Client entertainment expenses are allowed,Meals,High,Excessive individual meal cost lacking documentation
TXN-1004,2026-06-24,300.0,Office Supplies,Office Supplies,None,General business expense,Meals,High,Excessive individual meal cost lacking documentation
TXN-1005,2026-06-08,314.16,Entertainment,Entertainment,Low,Team social event after work hours,Meals,High,Excessive meal cost without proper justification
TXN-1006,2026-06-15,276.77,Travel,Travel,None,Client Engagement Expenses Covered,Meals,High,Excessive individual meal cost lacking documentation
TXN-1007,2026-06-28,8.5,Wi-Fi,Wi-Fi,Low,Client site visit internet access,Meals,High,Excessive individual meal cost lacking documentation
TXN-1008,2026-06-18,10.1,Wi-Fi,Wi-Fi,Low,Client site visit internet access,Meals,High,Excessive individual meal cost lacking documentation
TXN-1009,2026-06-07,12.0,Wi-Fi,Wi-Fi,Low,Business travel WiFi usage allowed,Meals,High,Excessive individual meal cost lacking documentation
TXN-1010,2026-06-08,57.99,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive meal cost without client context
TXN-1011,2026-06-06,119.55,Entertainment,Entertainment,Low,Business social gathering without client involvement,Meals,High,Excessive meal expense without clear justification
TXN-1012,2026-06-28,102.95,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive meal cost without client context
TXN-1013,2026-06-20,631.24,Entertainment,Entertainment,Low,Team social event after work hours,Meals,High,Excessive meal cost without clear justification
TXN-1014,2026-06-22,107.04,Software,Software,Low,Monthly software subscription renewal fee,Meals,High,Excessive meal cost without proper justification
TXN-1015,2026-06-11,97.02,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1016,2026-06-09,602.72,Entertainment,Entertainment,Low,Client entertainment expenses are allowed,Meals,High,Excessive meal cost without client or attendees
TXN-1017,2026-06-24,35.0,Travel,Travel,None,Client Engagement Expenses Covered,Meals,High,Excessive individual meal cost lacking documentation
TXN-1018,2026-06-13,1936.0,Entertainment,Entertainment,Low,Team building event expense reported,Meals,High,Excessive individual meal cost without justification
TXN-1019,2026-06-06,93.95,Entertainment,Entertainment,Low,Business meeting expenses incurred,Meals,High,Excessive individual meal cost without justification
TXN-1020,2026-06-26,81.11,Entertainment,Entertainment,Low,Team lunch for team members only,Meals,High,Excessive individual meal cost without justification
TXN-1021,2026-06-07,272.78,Software,Software,Low,Client project software subscription expense,Meals,High,Excessive individual meal cost lacking documentation
TXN-1022,2026-06-27,60.43,Entertainment,Entertainment,Low,Stress relief through monthly gym membership,Meals,High,Excessive individual meal cost lacking documentation
TXN-1023,2026-06-19,236.38,Travel,Travel,None,Client Engagement Expenses Covered,Meals,High,Excessive individual meal cost lacking documentation
TXN-1024,2026-06-16,144.84,Entertainment,Entertainment,Low,Business meeting justification provided,Meals,High,Excessive meal cost without proper justification
TXN-1025,2026-06-28,87.04,Software,Software,Low,Client project software subscription expense,Meals,High,Excessive individual meal cost lacking documentation
TXN-1026,2026-06-24,1290.56,Entertainment,Entertainment,Low,Team social event exceeding budget threshold,Meals,High,Excessive individual meal cost without justification
TXN-1027,2026-06-05,174.25,Entertainment,Entertainment,Low,Team social event after project completion,Meals,High,Excessive meal cost without proper justification
TXN-1028,2026-06-20,91.92,Entertainment,Entertainment,Low,Personal wellness services are not reimbursable,Meals,High,Excessive individual meal cost lacking documentation
TXN-1029,2026-06-15,37.88,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1030,2026-06-29,68.83,Software,Software,None,Annual software license renewal expense,Meals,High,Excessive individual meal cost lacking documentation
TXN-1031,2026-06-06,243.8,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive meal cost without client context
TXN-1032,2026-06-24,14.2,Wi-Fi,Wi-Fi,Low,Business travel WiFi usage allowed,Meals,High,Excessive individual meal cost lacking documentation
TXN-1033,2026-06-30,188.61,Office Supplies,Office Supplies,Low,Home office equipment purchase justification,Meals,High,Excessive individual meal cost lacking documentation
TXN-1034,2026-06-21,142.77,Entertainment,Entertainment,Low,Business meeting expenses incurred,Meals,High,Excessive meal cost without clear justification
TXN-1035,2026-06-29,95.95,Entertainment,Entertainment,Low,Team social event after project completion,Meals,High,Excessive individual meal cost without justification
TXN-1036,2026-06-25,129.1,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1037,2026-06-15,222.8,Office Supplies,Office Supplies,Low,Home office equipment purchase justification,Meals,High,Excessive individual meal cost lacking documentation
TXN-1038,2026-06-03,33.02,Meals,Meals,Low,Working late without meal reimbursement approval,Meals,High,Excessive meal cost without proper justification
TXN-1039,2026-06-19,14.99,Wi-Fi,Wi-Fi,Low,Business use of hotel WiFi services,Meals,High,Excessive individual meal cost lacking documentation
TXN-1040,2026-06-14,213.04,Entertainment,Entertainment,Low,Team social event outside work hours,Meals,High,Excessive meal cost without clear justification
TXN-1041,2026-06-14,27.18,Miscellaneous,Miscellaneous,Low,Client Presentation Equipment Upgrade Required,Meals,High,Excessive individual meal cost lacking documentation
TXN-1042,2026-06-13,1449.3,Entertainment,Entertainment,Low,Team social event expenses incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1043,2026-06-19,199.99,Travel,Travel,Low,Unapproved cab fare due to tardiness.,Meals,High,Excessive individual meal cost lacking documentation
TXN-1044,2026-06-26,210.28,Entertainment,Entertainment,Low,Client entertainment expenses are allowed,Meals,High,Excessive meal cost without client or attendees
TXN-1045,2026-06-06,1743.44,Entertainment,Entertainment,Low,Team social event expense reported,Meals,High,Excessive individual meal cost lacking documentation
TXN-1046,2026-06-25,16.26,Miscellaneous,Parking,Low,Office parking fee incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1047,2026-06-19,9.99,Wi-Fi,Wi-Fi,Low,Unauthorized personal use of company Wi-Fi,Meals,High,Excessive individual meal cost lacking documentation
TXN-1048,2026-06-26,117.94,Entertainment,Entertainment,Low,Dinner with colleagues is acceptable.,Meals,High,Excessive individual meal cost lacking documentation
TXN-1049,2026-06-19,6.5,Wi-Fi,Wi-Fi,Low,Client project business use of hotel WiFi,Meals,High,Excessive individual meal cost lacking documentation
TXN-1050,2026-06-08,580.52,Entertainment,Entertainment,Low,Team social event after work hours,Meals,High,Excessive meal cost without proper justification
TXN-1051,2026-06-23,247.09,Miscellaneous,Miscellaneous,Low,Unapproved General Purchase Made,Meals,High,Excessive individual meal cost lacking documentation
TXN-1052,2026-06-05,11.25,Wi-Fi,Wi-Fi,Low,Business use of personal airport WiFi,Meals,High,Excessive individual meal cost lacking documentation
TXN-1053,2026-06-28,541.41,Travel,Travel,Low,Internal Training Expenses,Meals,High,Excessive individual meal cost lacking documentation
TXN-1054,2026-06-24,10.99,Meals,Meals,Low,Business breakfast meeting with manager,Meals,High,Excessive meal cost without proper justification
TXN-1055,2026-06-17,179.68,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive meal cost without client context
TXN-1056,2026-06-30,1737.68,Entertainment,Entertainment,Low,Team social event exceeding budget threshold,Meals,High,Excessive individual meal cost without justification
TXN-1057,2026-06-06,613.97,Travel,Travel,None,Client Engagement Expenses Covered,Meals,High,Excessive individual meal cost lacking documentation
TXN-1058,2026-06-09,13.8,Wi-Fi,Wi-Fi,Low,Business use of hotel WiFi services,Meals,High,Excessive individual meal cost lacking documentation
