id,employee_category,corrected_category,amount,description,violation,reasoning,execution_time_sec
TXN-1001,Software,Software & Subscriptions,218.58,"Software subscription - design/collaboration tool, monthly seat renewal",None,"The transaction description mentions a 'software subscription - design/collaboration tool, monthly seat renewal', which aligns with the policy definition for Software & Subscriptions (Section 7.7). The employee's claimed category was inaccurate, but the correct category is clearly defined by the item description.",26.28
TXN-1002,Software,Software & Subscriptions,83.89,"Software subscription - design/collaboration tool, monthly seat renewal",None,"The transaction description mentions a 'software subscription - design/collaboration tool, monthly seat renewal', which aligns with the policy definition for Software & Subscriptions (Section 7.7). The employee's claimed category was inaccurate, but the correct category is clearly defined by the item description.",18.46
TXN-1003,Entertainment,Client Entertainment,380.00,Dinner with client team (4 people) to finalize Q3 proposal,None,"The transaction description 'Dinner with client team (4 people) to finalize Q3 proposal' indicates a business-related meal with clients, which falls under the Client Entertainment category. The policy allows for Client Entertainment claims of up to $100 per person, and since there are four attendees including the employee, the total amount of 380.00 exceeds this limit.",24.06
TXN-1004,Office Supplies,Miscellaneous,300.00,general purchase,None,"The transaction description 'general purchase' does not specify a business purpose or client/project name, but it is not marked as personal. Therefore, it falls under the Miscellaneous category, which requires a clear business purpose. The amount of $300.00 is within the spending cap for this category.",20.58
TXN-1005,Entertainment,Entertainment,314.16,Team dinner a group of 2 after closing out the sprint,None,"The transaction description 'Team dinner a group of 2 after closing out the sprint' indicates a client-facing event, which falls under the Entertainment category. The policy allows for reimbursement up to $100 per person, and since there are only two attendees, the total amount of $314.16 is within the limit.",22.5
TXN-1006,Travel,Travel,276.77,"2-day onsite client engagement; covers flights and 1 night hotel, meals billed separately",None,The transaction description mentions a '2-day onsite client engagement' which indicates that the travel is for business purposes and related to a specific client. This matches the policy definition of Client-Billable expenses under the Travel category.,20.0
TXN-1007,Wi-Fi,Wi-Fi/Connectivity,8.50,Hotel WiFi during client site visit,None,"The transaction description 'Hotel WiFi during client site visit' matches the policy definition for Wi-Fi/Connectivity, which is a reimbursable expense category for Junior employees. The amount of $8.50 is within the allowed limit of $15 per instance.",19.58
TXN-1008,Wi-Fi,Wi-Fi/Connectivity,10.10,Hotel WiFi during client site visit,None,"The transaction description 'Hotel WiFi during client site visit' matches the policy definition for Wi-Fi/Connectivity, which is a reimbursable expense category for Junior employees. The amount of $10.10 is within the allowed limit of $15 per instance.",13.67
TXN-1009,Wi-Fi,Wi-Fi/Connectivity,12.00,Airport WiFi while traveling for business,None,"The transaction description 'Airport WiFi while traveling for business' matches the policy definition of Wi-Fi/Connectivity, which is the only eligible category for Junior-level employees. This expense falls within the allowed limits and does not require a detailed explanation.",19.18
TXN-1010,Entertainment,Client Entertainment,57.99,Coffee/meal with client contact a group of 3 following a successful sprint demo,None,"The transaction description 'Coffee/meal with client contact a group of 3 following a successful sprint demo' indicates that the expense is related to a client, which aligns with the policy definition for Client Entertainment. The employee claimed it as 'Entertainment', but based on the description, it should be categorized under Client Entertainment.",21.68
TXN-1011,Entertainment,Meals,119.55,"Team lunch team of 5 catch-up, no client involved",None,"The transaction description 'Team lunch team of 5 catch-up, no client involved' indicates a meal for employees, which is eligible under the Meals category. The policy states that meals can be submitted by employees at Manager level and above, but since there's no indication that this employee is below Manager level, we assume they are eligible to submit this claim.",21.4
TXN-1012,Entertainment,Client Entertainment,102.95,Coffee/meal with client contact a group of 5 following a successful sprint demo,None,"The transaction description 'Coffee/meal with client contact a group of 5 following a successful sprint demo' indicates that the expense is related to a client, which aligns with the Client Entertainment category. The policy allows for Client Entertainment expenses up to $100 per person.",17.88
TXN-1013,Entertainment,Meals & Entertainment,631.24,Team dinner 4 of us after closing out the sprint,Low,"The transaction description 'Team dinner 4 of us after closing out the sprint' indicates a meal for multiple people, which is eligible under the Meals category. However, since the employee claimed it as 'Entertainment', it was miscategorized. The amount $631.24 exceeds the cap of $100 per person, but this is not a high-risk claim as it's a team event and not a personal expense.",24.88
TXN-1014,Software,Software & Subscriptions,107.04,"Software subscription - design/collaboration tool, monthly seat renewal",None,"The transaction description mentions a 'software subscription - design/collaboration tool, monthly seat renewal', which aligns with the policy definition for Software & Subscriptions (Section 7.7). The employee's claimed category was inaccurate, but the true category is clearly defined by the item description.",16.62
TXN-1015,Entertainment,Meals & Client Entertainment,97.02,Coffee/meal with client contact (3 people) to review project milestones,None,"The transaction description mentions a 'meal with client contact' which implies that the expense is related to a business purpose, specifically client entertainment. This category aligns with policy definitions for Meals & Client Entertainment (3.1).",42.91
TXN-1016,Entertainment,Client Entertainment,602.72,Dinner with client team team of 4 to finalize Q3 proposal,None,"The transaction description 'Dinner with client team of 4 to finalize Q3 proposal' indicates a business purpose tied to a specific client, which aligns with the policy definition for Client Entertainment. The employee's claim was initially categorized as 'Entertainment', but based on the policy text and transaction details, it is clear that this expense should be marked as Client Entertainment.",18.46
TXN-1017,Travel,Travel,35.00,"5-day onsite client engagement; covers flights and 4 nights hotel, meals billed separately",None,"The transaction description '5-day onsite client engagement; covers flights and 4 nights hotel, meals billed separately' indicates a business trip with multiple components (flights, hotel, meals). According to policy, the Travel category is eligible for ground transport, flights, trains on a reasonable basis. The description also mentions a client engagement, which aligns with the Client-Billable vs. Internal Expenses policy.",21.01
TXN-1018,Entertainment,Team Events / Company Parties,1936.00,"Organized team party a group of 40, birthday celebration for a teammate",High,"The employee claimed category was 'Entertainment', but the description indicates a team party for 40 people, which is not eligible for Senior employees. According to policy, team parties are restricted to Manager level and above.",19.98
TXN-1019,Entertainment,Meals & Client Entertainment,93.95,Project discussion,None,"The transaction description 'Project discussion' suggests a client-facing or team meeting, which is eligible for reimbursement under the Meals & Client Entertainment category. The employee's claimed category was incorrect, but based on the policy text and description, this expense should be categorized as Meals & Client Entertainment.",21.61
TXN-1020,Entertainment,Meals,81.11,"Team lunch (1 person, no guests) to debrief after sprint retro",None,"The transaction description 'Team lunch (1 person, no guests) to debrief after sprint retro' indicates a meal-related expense. According to the policy, meals are eligible for reimbursement at Manager level and above, but since this employee is not specified as being at that level, it's unclear if they should be reimbursed. However, given the description, it's clear that this is a meal-related expense, so we'll categorize it as 'Meals'.",28.52
TXN-1021,Software,Software & Subscriptions,272.78,Software subscription - used for client project deliverables,None,"The transaction description 'Software subscription - used for client project deliverables' matches the policy definition in Section 7.7, which states that recurring software and SaaS subscriptions are reimbursable when there is a genuine work use, stated in the justification.",19.09
TXN-1022,Entertainment,Wellness,60.43,Monthly gym membership - stress relief,High,"The transaction description 'Monthly gym membership - stress relief' clearly indicates a personal wellness expense, which is never reimbursable according to the corporate policy.",17.73
TXN-1023,Travel,Travel,236.38,"2-day onsite client engagement; covers flights and 1 night hotel, meals billed separately",None,The transaction description mentions a '2-day onsite client engagement' which indicates that the travel is for business purposes and related to a specific client. This matches the policy definition of Client-Billable expenses under the Travel category.,14.04
TXN-1024,Entertainment,Meals,144.84,Team lunch a group of 3 to plan next quarter's roadmap,None,"The transaction description 'Team lunch a group of 3 to plan next quarter's roadmap' indicates a meal for business purposes, which is eligible under the Meals category. The policy allows Manager level and above employees to submit Meal claims, and this employee's claim does not exceed any spending caps or limits.",23.33
TXN-1025,Software,Software & Subscriptions,87.04,Software subscription - used for client project deliverables,None,"The transaction description 'Software subscription - used for client project deliverables' matches the policy definition in Section 7.7, which states that recurring software and SaaS subscriptions are reimbursable when there is a genuine work use, stated in the justification.",15.07
TXN-1026,Entertainment,Team Events / Company Parties,1290.56,"Organized team party a group of 37, project wrap-up party",Violation,"The transaction description 'Organized team party a group of 37, project wrap-up party' matches the policy definition for Team Events / Company Parties. However, according to the policy, only Manager level and above are authorized to organize or file claims for team parties. Since the employee is Senior (not Manager), this is a violation.",21.82
TXN-1027,Entertainment,Entertainment,174.25,Team dinner a group of 3 after project close,None,"The transaction description 'Team dinner a group of 3 after project close' indicates a client-facing event, which falls under the Entertainment category. The policy allows for reimbursement up to $100 per person, and since there are three attendees, the total amount of $174.25 is within the limit.",18.47
TXN-1028,Entertainment,Wellness,91.92,Wellness subscription,High,"The transaction description 'Wellness subscription' matches the policy definition for non-reimbursable wellness and fitness costs, including gym memberships, personal training, fitness apps, or wellness subscriptions of any kind. This is explicitly stated in sections 8. Personal & Non-Reimbursable Expenses and 3.4 Key Terms.",21.06
TXN-1029,Entertainment,Meals & Client Entertainment,37.88,Coffee/meal with client contact (2 people) to review project milestones,None,"The transaction description 'Coffee/meal with client contact (2 people) to review project milestones' indicates a business meal with a client, which falls under the Meals & Client Entertainment category. The employee's claimed category was incorrect, but based on the policy text, this expense is eligible for reimbursement as it meets the conditions of being necessary and reasonable for doing their job or serving a client.",19.98
TXN-1030,Software,Software & Subscriptions,68.83,Software subscription - annual license renewal for the department,None,"The transaction description 'Software subscription - annual license renewal for the department' matches the policy definition for Software & Subscriptions, which requires a business justification. The employee claimed category was inaccurate and has been corrected.",20.11
TXN-1031,Entertainment,Meals & Client Entertainment,243.80,Coffee/meal with client contact 4 of us to review project milestones,None,"The transaction description 'Coffee/meal with client contact 4 of us to review project milestones' indicates a business meal with clients, which falls under the Meals & Client Entertainment category. The employee's manager level is not specified in this transaction, but based on the policy, Manager level and above are eligible to submit Meal claims.",18.04
TXN-1032,Wi-Fi,Wi-Fi/Connectivity,14.20,Airport WiFi while traveling for business,None,"The transaction description 'Airport WiFi while traveling for business' matches the policy definition of Wi-Fi/Connectivity, which is the only eligible category for Junior-level employees. This expense falls within the allowed limits and does not require a detailed explanation.",14.41
TXN-1033,Office Supplies,Office Supplies,188.61,Monitor for hybrid home/office setup,None,"The transaction description 'Monitor for hybrid home/office setup' matches the policy definition of Office Supplies, which includes home-office equipment. The amount $188.61 is below the single-transaction limit of $500.",21.38
