Transaction_ID;Date;Amount;ZeroShot_Category;ZeroShot_Violation;ZeroShot_Summary;FewShot_Category;FewShot_Violation;FewShot_Summary
TXN-1001;30.06.26;218,00;Software;None;Monthly software subscription for collaboration purposes;Software;None;Monthly design collaboration tool subscription
TXN-1002;23.06.26;83,00;Software;None;Monthly software subscription for collaboration purposes;Software;None;Monthly software subscription renewal process
TXN-1003;10.06.26;380,00;Meals;Low;Unnecessary expense for client dinner gathering;Meals;None;Business dinner with client team finalized proposal
TXN-1004;24.06.26;300,00;Miscellaneous;Low;Unspecified general purchase amount exceeds reasonable threshold.;Miscellaneous;Medium;Unspecified general corporate purchase made
TXN-1005;08.06.26;314,00;Meals;None;Team dinner for two employees;Meals;None;Standard team dinner after sprint closure meeting
TXN-1006;15.06.26;276,00;Travel;None;Client Engagement Expenses Covered by Airfare and Accommodation;Travel;None;Standard client engagement travel costs
TXN-1007;28.06.26;10,00;Travel;None;Unnecessary expense for hotel WiFi services;Travel;None;Reasonable client site visit hotel WiFi fee
TXN-1008;18.06.26;10,00;Travel;None;Unnecessary expense for hotel WiFi services;Travel;None;Reasonable client site visit hotel WiFi
TXN-1009;07.06.26;12,00;Travel;None;Unnecessary airport WiFi charge during business travel;Travel;None;Business airport WiFi access fee
TXN-1010;08.06.26;57,00;Meals;None;Business meeting with client and team members;Meals;None;Business meeting with client group of three
TXN-1011;06.06.26;119,00;Meals;None;Team lunch for employees only;Meals;None;Standard corporate team lunch meeting
TXN-1012;28.06.26;102,00;Meals;None;Business meeting with client and team members;Meals;Low;Business meeting with client group after demo
TXN-1013;20.06.26;631,00;Meals;None;Team dinner for four employees;Meals;High;Excessive team dinner cost without context
TXN-1014;22.06.26;107,00;Software;None;Monthly software subscription for collaboration purposes;Software;None;Monthly software subscription renewal process
TXN-1015;11.06.26;97,00;Meals;None;Client meeting with multiple attendees included meal;Meals;None;Business meeting with client and team members
TXN-1016;09.06.26;602,00;Meals;Low;Unusual expense for dinner with client team;Meals;None;Business dinner with client team finalized proposal
TXN-1017;24.06.26;35,00;Travel;None;Onsite client engagement expenses covered by separate billing;Travel;None;Standard client engagement travel costs
TXN-1018;13.06.26;1936,00;Entertainment;Low;Team party expense exceeds reasonable limits slightly;Entertainment;Severe;Excessive team party expense without clear justification
TXN-1019;06.06.26;93,00;Meals;Low;Inadequate justification for meal expense amount;Travel;None;Business project discussion meeting expenses
TXN-1020;26.06.26;81,00;Meals;None;Debriefing team lunch for one employee only;Meals;None;Standard corporate team lunch meeting
TXN-1021;07.06.26;272,00;Software;None;Client project software subscription expense;Software;None;Client project software subscription expense
TXN-1022;27.06.26;60,00;Entertainment;None;Unapproved personal wellness expenditure;Miscellaneous;None;Personal stress relief gym membership
TXN-1023;19.06.26;236,00;Travel;None;Client Engagement Expenses Covered by Airfare and Accommodation;Travel;None;Standard client engagement travel costs
TXN-1024;16.06.26;144,00;Meals;None;Team lunch for planning purposes only;Meals;None;Team lunch for quarterly planning meeting
TXN-1025;28.06.26;87,00;Software;None;Client project software subscription expense;Software;None;Client project software delivery expense
TXN-1026;24.06.26;1290,00;Entertainment;Low;Company-sponsored event for team celebration purposes only;Entertainment;High;Excessive team party spending without justification
TXN-1027;05.06.26;174,00;Meals;None;Team dinner for three employees post-project;Meals;None;Reasonable team dinner after project completion
TXN-1028;20.06.26;91,00;Software;None;Unapproved wellness service subscription;Software;None;Standard wellness subscription for employee benefit
TXN-1029;15.06.26;37,00;Meals;None;Client meeting over coffee, reasonable expense;Meals;None;Business meeting with client over coffee
TXN-1030;29.06.26;68,00;Software;None;Annual software license renewal for department;Software;None;Annual software license renewal for department
TXN-1031;06.06.26;243,00;Meals;None;Business meeting with client over coffee;Meals;Low;Business meal with client contact meeting
TXN-1032;24.06.26;14,00;Travel;None;Unnecessary airport WiFi charge during business travel;Travel;None;Business airport WiFi access fee
TXN-1033;30.06.26;188,00;Office Supplies;None;Home office equipment purchase justification appears reasonable.;Office Supplies;None;Hybrid home office equipment purchase
TXN-1034;21.06.26;142,00;Meals;Low;Unapproved meal expense during meeting;Miscellaneous;None;Standard corporate meeting expenses incurred
TXN-1035;29.06.26;95,00;Meals;Low;Incongruous expense for team dinner justification;Meals;None;Team dinner after project completion meeting
TXN-1036;25.06.26;129,00;Meals;None;Client meeting with multiple attendees included meal;Meals;Low;Business meeting with client contact and demo
TXN-1037;15.06.26;222,00;Office Supplies;None;Home office equipment purchase justification appears reasonable.;Office Supplies;None;Hybrid home office equipment setup costs
TXN-1038;03.06.26;33,00;Meals;None;Late work hours warrant a solo meal expense;Meals;None;Personal lunch during late work hours
TXN-1039;19.06.26;14,00;Travel;None;Business use of hotel WiFi services;Travel;None;Standard hotel WiFi business travel
TXN-1040;14.06.26;213,00;Meals;None;Team dinner after project completion;Meals;None;Standard corporate team dinner meeting
TXN-1041;14.06.26;27,00;Office Supplies;None;Hardware adapter purchase for client presentation;Office Supplies;None;Small office supply hardware adapter purchase
TXN-1042;13.06.26;1449,00;Entertainment;Low;Excessive company event expenses reported;Entertainment;High;Excessive team party cost without business context
TXN-1043;19.06.26;199,00;Travel;Low;Late cab fare for client meeting delay;Travel;None;Standard business cab ride expense
TXN-1044;26.06.26;210,00;Meals;None;Business dinner for client meeting purposes;Meals;Low;Business dinner with client team members
TXN-1045;06.06.26;1743,00;Entertainment;Low;Team party with excessive guest count;Entertainment;High;Large team party with unclear expense details
TXN-1046;25.06.26;16,00;Office Supplies;None;Unnecessary parking fee for office visit;Office Supplies;None;Standard office parking fee expense
TXN-1047;19.06.26;364,04;Entertainment;None;Unapproved use of company resources;Miscellaneous;Low;Conference venue WiFi day pass expense
TXN-1048;26.06.26;117,00;Meals;Low;Dinner for two guests appears excessive.;Meals;None;Business dinner with two guests attended
TXN-1049;19.06.26;184,15;Travel;None;Client project trip expenses within budget;Travel;None;Client project trip with standard hotel WiFi
TXN-1050;08.06.26;580,00;Meals;None;Team dinner for 4 employees;Meals;None;Standard corporate team dinner meeting
TXN-1051;23.06.26;247,00;Miscellaneous;Low;Unspecified item purchased without clear justification;Miscellaneous;None;General corporate miscellaneous purchase made
TXN-1052;05.06.26;459,62;Travel;None;Unnecessary airport WiFi expense for client visit;Travel;None;Business-related airport WiFi usage
TXN-1053;28.06.26;541,00;Travel;None;Internal training expenses within budget range.;Travel;Low;Standard business travel to Frankfurt
TXN-1054;24.06.26;364,34;Meals;None;Business breakfast meeting with manager;Meals;None;Standard corporate breakfast meeting with manager
TXN-1055;17.06.26;179,00;Meals;None;Business meeting with client contact team;Meals;None;Standard client meeting coffee expense
TXN-1056;30.06.26;1737,00;Entertainment;Low;Excessive team party expenses reported;Entertainment;High;Excessive team party without clear business purpose
TXN-1057;06.06.26;613,00;Travel;None;Onsite client engagement expenses are reasonable.;Travel;None;Standard client engagement travel costs
TXN-1058;09.06.26;13,00;Travel;None;Unnecessary expense for hotel WiFi usage;Travel;None;Overnight business trip hotel WiFi cost
TXN-1059;04.06.26;264,00;Miscellaneous;None;Unspecified general purchase amount;Miscellaneous;None;General corporate miscellaneous purchase made
TXN-1060;20.06.26;251,00;Office Supplies;None;Desk equipment replacement costs within budget;Office Supplies;None;Standard office desk equipment replacement
TXN-1061;10.06.26;205,00;Meals;None;Business meeting with client and team members;Meals;None;Business meal with client contact group
TXN-1062;28.06.26;284,00;Software;None;Annual software license renewal for department;Software;None;Annual software license renewal for department
TXN-1063;02.06.26;480,00;Office Supplies;None;Bulk office furniture purchase is reasonable expense;Office Supplies;None;Bulk office furniture purchase for the floor
TXN-1064;10.06.26;1403,00;Entertainment;Low;Team party expense exceeds reasonable limits slightly;Entertainment;High;Excessive team party cost without clear justification
TXN-1065;05.06.26;525,00;Meals;Low;Unusual expense for dinner with client team;Meals;None;Business dinner with client team finalized proposal
TXN-1066;18.06.26;371,00;Travel;None;Internal training expenses within budget range.;Travel;Low;Standard corporate internal training trip
TXN-1067;28.06.26;19,00;Entertainment;Low;Inadequate reimbursement for office snacks;Office Supplies;None;Reasonable office supplies for all-hands meeting
TXN-1068;09.06.26;48,00;Software;None;Unapproved wellness service subscription;Software;None;Standard wellness subscription for employee benefit
TXN-1069;20.06.26;137,00;Miscellaneous;None;Unapproved work session expense reported;Software;None;Standard remote work session software
TXN-1070;07.06.26;248,00;Miscellaneous;Low;Unspecified general purchase amount;Miscellaneous;None;General corporate miscellaneous purchase made
TXN-1071;23.06.26;117,00;Entertainment;Low;Unapproved personal wellness activity expense;Miscellaneous;High;Personal training session without business purpose
TXN-1072;11.06.26;249,00;Software;None;Annual software license renewal for department;Software;None;Annual software license renewal for department
TXN-1073;03.06.26;55,00;Software;None;Monthly software subscription for collaboration purposes;Software;None;Monthly software subscription renewal process
TXN-1074;19.06.26;200,00;Miscellaneous;None;Unapproved expense category not specified.;Miscellaneous;Minor;Lack of clear business expense details
TXN-1075;07.06.26;253,00;Entertainment;Low;Unspecified expense category does not align with justification.;Unknown;Unknown;Insufficient justification for miscellaneous expense
TXN-1076;20.06.26;147,93;Miscellaneous;None;Remote work Wi-Fi hotspot usage;Software;None;Remote work data access software expense
TXN-1077;25.06.26;591,00;Travel;None;Internal training expenses within budget range.;Travel;Low;Standard business travel with train and hotel
TXN-1078;26.06.26;200,00;Entertainment;Low;Unjustified expense without clear business purpose;Miscellaneous;Unknown;Lack of clear expense description provided
TXN-1079;21.06.26;125,00;Travel;None;Local data plan for business purposes;Travel;None;Business trip SIM card and data plan
TXN-1080;23.06.26;180,00;Travel;None;Client site visit train ticket expense;Travel;None;Standard client site visit transportation
TXN-1081;28.06.26;14,00;Meals;None;Unapproved meal during work hours only;Meals;None;Standard corporate working lunch meeting
TXN-1082;22.06.26;319,00;Meals;Low;Informal meeting expense exceeds standard protocol;Meals;None;Business meeting with client contact details
TXN-1083;17.06.26;73,00;Software;None;Annual software license renewal for department;Software;None;Annual software license renewal for department
TXN-1084;04.06.26;69,00;Software;None;Annual software license renewal for department;Software;None;Annual software license renewal for department
TXN-1085;15.06.26;37,00;Meals;None;Unapproved meal during work hours only;Meals;None;Standard corporate working lunch meeting
TXN-1086;05.06.26;507,00;Travel;None;Onsite client engagement expenses are reasonable.;Travel;None;Standard client engagement travel costs
TXN-1087;07.06.26;28,00;Travel;None;Client Engagement Expenses Covered by Separate Invoices;Travel;None;Standard business travel expenses covered
TXN-1088;20.06.26;191,00;Meals;None;Team lunch for welcoming new team member;Meals;None;Standard corporate welcome team lunch meeting
TXN-1089;20.06.26;122,00;Meals;None;Dinner expense within reasonable company limits.;Miscellaneous;None;Lack of business context for dinner expense
TXN-1090;29.06.26;140,00;Software;None;Hardware adapter purchase for client presentation;Office Supplies;None;Small hardware adapter purchase for client presentation
TXN-1091;02.06.26;108,00;Travel;Low;Late arrival justified by cab fare expense;Travel;None;Business client meeting transportation cost
TXN-1092;28.06.26;126,63;Meals;None;Unapproved meal during work hours only;Meals;None;Standard working lunch meeting expense
TXN-1093;28.06.26;22,00;Meals;None;Reasonable meal expense within company policy;Miscellaneous;Unknown;Unknown miscellaneous expense with attached receipt provided.
TXN-1094;01.06.26;161,00;Travel;None;Unnecessary expense on personal data plan;Travel;None;Business trip SIM card and data plan
TXN-1095;05.06.26;518,00;Travel;None;Onsite client engagement expenses are reasonable.;Travel;None;Standard client engagement travel costs
TXN-1096;07.06.26;250,00;Entertainment;Low;Unjustified expense without clear business purpose;Miscellaneous;Low;Unclear expense without business context
TXN-1097;15.06.26;254,00;Software;None;Annual software license renewal for department;Software;None;Annual software license renewal for department
TXN-1098;20.06.26;1768,00;Entertainment;Low;Unreasonable team party expense amount;Entertainment;Minor;End-of-project team celebration for finance department
TXN-1099;05.06.26;86,00;Office Supplies;None;Contract document postage within budget range;Office Supplies;None;Standard postage for contract documents
TXN-1100;21.06.26;169,00;Meals;None;Dinner for two employees is reasonable expense;Meals;Low;Business dinner for two employees
TXN-1101;22.06.26;249,00;Travel;None;Onsite client engagement expenses covered by separate bills;Travel;None;Standard client engagement travel expenses
TXN-1102;18.06.26;294,00;Software;None;Monthly software subscription for collaboration purposes;Software;None;Monthly design collaboration tool subscription
TXN-1103;27.06.26;480,00;Entertainment;Low;Team party expense exceeds reasonable limits slightly;Entertainment;None;Standard corporate team social gathering
TXN-1104;14.06.26;95,00;Meals;None;Business dinner with client team finalized proposal;Meals;None;Client meeting dinner with one guest
TXN-1105;05.06.26;442,00;Travel;Low;Trip cost exceeds reasonable expense threshold.;Travel;None;Business trip cost within reasonable limits
TXN-1106;05.06.26;95,00;Office Supplies;None;Desk equipment replacement costs within budget;Office Supplies;None;Standard office desk equipment replacement
TXN-1107;25.06.26;33,00;Meals;None;Late work hours warrant a solo meal expense;Meals;None;Personal lunch during late work hours
TXN-1108;20.06.26;1684,00;Entertainment;Low;Team celebration exceeds reasonable expense limits slightly;Entertainment;High;Excessive team party cost without clear justification
TXN-1109;12.06.26;34,00;Meals;Low;Breakfast meeting with manager for priority review;Meals;None;Business breakfast meeting with manager
TXN-1110;28.06.26;97,00;Meals;Low;Inadequate justification for meal expense amount;Travel;Low;Business project discussion meeting expenses incurred
TXN-1111;17.06.26;51,00;Travel;None;Local data plan for business purposes;Travel;None;Local data plan for business travel purposes
TXN-1112;29.06.26;324,00;Meals;Low;Unnecessary expense for client dinner meeting;Meals;None;Business dinner with client team meeting
TXN-1113;22.06.26;156,00;Software;None;Client project software subscription expense;Software;None;Client project software delivery expense
TXN-1114;27.06.26;81,00;Entertainment;Low;Unapproved personal wellness activity expense;Miscellaneous;High;Personal training session without business purpose
TXN-1115;22.06.26;143,00;Software;None;Annual software license renewal for department;Software;None;Annual software license renewal for department
TXN-1116;06.06.26;21,00;Travel;None;Local data plan for business purposes;Travel;None;Business SIM card purchase details
TXN-1117;09.06.26;270,00;Meals;None;Team lunch for planning purposes only;Meals;None;Standard corporate team lunch meeting
TXN-1118;02.06.26;296,00;Office Supplies;None;Desk equipment replacement costs within budget;Office Supplies;None;Standard office desk equipment replacement
TXN-1119;08.06.26;59,00;Meals;None;Team lunch for new team member introduction;Meals;None;Team lunch welcoming new team member
TXN-1120;14.06.26;97,00;Office Supplies;None;Home office equipment purchase justification appears reasonable.;Office Supplies;None;Hybrid home office equipment setup costs
TXN-1121;06.06.26;645,00;Travel;None;Internal training expenses within budget range.;Travel;None;Standard corporate internal training trip
TXN-1122;23.06.26;82,00;Meals;Low;Informal meeting expense exceeds standard protocol;Meals;None;Business meal with client discussion
