Transaction_ID,Date,Amount,ZeroShot_Category,ZeroShot_Violation,ZeroShot_Summary,FewShot_Category,FewShot_Violation,FewShot_Summary
TXN-1001,30.06.26,218.58,Software,None,Monthly software subscription for collaboration purposes,Software,None,Monthly software subscription for design collaboration
TXN-1002,23.06.26,83.89,Software,None,Monthly software subscription for collaboration purposes,Software,None,Monthly software subscription for collaboration
TXN-1003,10.06.26,380.00,Meals,Low,Unnecessary expense for client dinner gathering,Meals,None,Business dinner with client team finalized
TXN-1004,24.06.26,300.00,Entertainment,Low,Unspecified general purchase does not justify expense,Office Supplies,None,Standard office supply purchase made
TXN-1005,08.06.26,314.16,Meals,None,Team dinner for two employees,Meals,None,Team dinner for a small team meeting
TXN-1006,15.06.26,276.77,Travel,None,Client Engagement Expenses Covered by Airfare and Accommodation,Travel,None,Standard client engagement travel costs
TXN-1007,28.06.26,Aug 50,Travel,None,Unnecessary expense for hotel WiFi services,Travel,None,Business travel internet access fee
TXN-1008,18.06.26,10. Oct,Travel,None,Unnecessary expense for hotel WiFi services,Travel,None,Standard client site visit WiFi fee
TXN-1009,07.06.26,12.00,Travel,None,Unnecessary airport WiFi charge during business travel,Travel,None,Reasonable airport WiFi for business travel
TXN-1010,08.06.26,57.99,Meals,None,Business meeting with client and team members,Meals,None,Business meeting with client contact group
TXN-1011,06.06.26,119.55,Meals,None,Team lunch for employees only,Meals,None,Standard corporate team lunch meeting
TXN-1012,28.06.26,102.95,Meals,None,Client meeting with multiple attendees included meal,Meals,Low,Business meeting with client group
TXN-1013,20.06.26,631.24,Meals,None,Team dinner after project completion,Meals,High,Excessive team dinner cost without context
TXN-1014,22.06.26,107.04,Software,None,Monthly software subscription for collaboration purposes,Software,None,Standard monthly software subscription renewal
TXN-1015,11.06.26,97.02,Meals,None,Client meeting with multiple attendees included meal,Meals,Low,Business meeting with client review expenses
TXN-1016,09.06.26,602.72,Meals,Low,Unnecessary expense for client dinner gathering,Meals,None,Business dinner with client team finalized proposal
TXN-1017,24.06.26,35.00,Travel,None,Client Engagement Expenses Covered by Separate Invoices,Travel,None,Standard business travel expenses covered
TXN-1018,13.06.26,1936.00,Entertainment,Low,Team party expense exceeds reasonable limits slightly,Entertainment,High,Excessive team party cost without business context
TXN-1019,06.06.26,93.95,Meals,Low,Unapproved meal expense for project discussion,Travel,None,Business project discussion meeting expenses
TXN-1020,26.06.26,81.11,Meals,None,Debriefing team lunch for one employee only,Meals,None,Single-person team lunch meeting
