Transaction_ID,Employee_Level,Department,Client,Merchant,Category,Amount,Date,Justification,violation,reasoning,execution_time_sec
TXN-1001,Executive,Engineering,Atlas Capture,GitHub,Software,218.58,2026-06-30,"Software subscription - design/collaboration tool, monthly seat renewal",Medium,"The transaction exceeds the Executive's Software & Subscriptions cap by more than 25%, resulting in a Medium violation. The justification provided is also for a legitimate business expense, supporting the claim's validity.",21.91
TXN-1002,Senior,Finance,Internal / No Client,Notion,Software,83.89,2026-06-23,"Software subscription - design/collaboration tool, monthly seat renewal",Medium,"The Senior employee's software subscription claim ($83.89) exceeds the Executive cap of $75/seat/month by more than 10%, constituting a Medium violation under policy HE-FIN-004 v3.1 merged.",20.57
TXN-1003,Manager,Marketing,BlueWave Logistics,Vapiano,Entertainment,380.00,2026-06-10,Dinner with client team (4 people) to finalize Q3 proposal,None,"The transaction is compliant with the policy as the Manager has permission to submit an Entertainment claim, and the per-person cost of $95.0 is within the cap.",33.72
TXN-1004,Manager,Engineering,Internal / No Client,Officeworks,Office Supplies,300.00,2026-06-24,general purchase,Medium,"The justification text 'general purchase' is vague, and the transaction amount is a round figure, which may indicate an attempt to circumvent approval thresholds. However, since the Manager level employee is eligible for Office Supplies claims and the per-person cost is below the cap, this is not an automatic High violation.",33.2
TXN-1005,Manager,HR,Internal / No Client,Cafe Einstein,Entertainment,314.16,2026-06-08,Team dinner a group of 2 after closing out the sprint,High,"The transaction exceeds the per-person cap for Entertainment claims, making it a High violation. The employee's level and permissions do not change this outcome.",47.34
TXN-1006,Senior,Finance,Meridian Health Systems,Marriott,Travel,276.77,2026-06-15,"2-day onsite client engagement; covers flights and 1 night hotel, meals billed separately",Medium,"The transaction is for 'Travel' which includes flights and hotel costs, exceeding the Manager-level flight/train cap of $600 without prior Director approval. However, this transaction is for a Senior employee, not a Manager, so it's not an automatic violation.",43.58
TXN-1007,Junior,Marketing,Internal / No Client,Hotel WiFi,Wi-Fi,8.50,2026-06-28,Hotel WiFi during client site visit,None,"The transaction meets all policy requirements for a Junior employee's Wi-Fi/Connectivity claim, including being below the cap and having a valid business justification. No violations were found.",37.2
TXN-1008,Junior,Sales,Atlas Capture,T-Mobile Hotspot,Wi-Fi,10.10,2026-06-18,Hotel WiFi during client site visit,None,"The transaction meets all policy requirements for a Junior employee to submit a Wi-Fi/Connectivity claim, including the cap check and justification. There are no structural abuse checks or other issues that would indicate a violation.",31.72
TXN-1009,Junior,Operations,Internal / No Client,Airport WiFi,Wi-Fi,12.00,2026-06-07,Airport WiFi while traveling for business,None,"The transaction is eligible, within the cap, and follows policy guidelines. The Junior employee's Wi-Fi claim for $12.00 at Airport WiFi while traveling for business is compliant with the policy.",34.35
TXN-1010,Manager,Operations,Atlas Capture,Hilton Restaurant,Entertainment,57.99,2026-06-08,Coffee/meal with client contact a group of 3 following a successful sprint demo,None,"The Manager-level employee has permission to submit Client Entertainment claims with a named client/project required, and the transaction is within the per-person cap of $100.",42.84
TXN-1011,Director,Finance,Internal / No Client,Cafe Einstein,Entertainment,119.55,2026-06-06,"Team lunch team of 5 catch-up, no client involved",Medium,"The Director employee is eligible to claim the Entertainment category, but since there is no client involved and the justification text lacks a clear business reason, this transaction is flagged as a Medium violation due to lack of context for weekend claims without a specific client reference.",40.17
TXN-1012,Director,Sales,Kestrel Finance Partners,Cafe Einstein,Entertainment,102.95,2026-06-28,Coffee/meal with client contact a group of 5 following a successful sprint demo,None,"The Director is eligible to claim Entertainment, and the per-person cost of $20.59 does not exceed the cap of $100. No other policy violations or structural abuses were found.",36.03
TXN-1013,Executive,Finance,Internal / No Client,Hilton Restaurant,Entertainment,631.24,2026-06-20,Team dinner 4 of us after closing out the sprint,High,"The transaction is for Entertainment and exceeds the per-person cap of $100. Although the employee is an Executive, they do not have internal hosting/party rights under Section 6, making this a High violation.",45.35
TXN-1014,Manager,Operations,BlueWave Logistics,Notion,Software,107.04,2026-06-22,"Software subscription - design/collaboration tool, monthly seat renewal",Medium,"The transaction is under the math cap, but it exceeds the Manager-specific cap (not explicitly stated in Appendix E). However, since Managers are eligible for Software claims, we consider this a Medium violation due to exceeding the cap by more than 25%.",39.23
TXN-1015,Manager,Finance,Atlas Capture,Cafe Einstein,Entertainment,97.02,2026-06-11,Coffee/meal with client contact (3 people) to review project milestones,None,"The transaction is within the per-person cap, and the employee has the necessary permissions for this category. There are no structural abuse checks or other issues that would flag this as a violation.",42.13
TXN-1016,Junior,HR,Meridian Health Systems,Chutnify Neukölln,Entertainment,602.72,2026-06-09,Dinner with client team team of 4 to finalize Q3 proposal,High,"Junior employee attempting to claim 'Entertainment' category without permission, and exceeding per-person cap of $100.",31.05
TXN-1017,Manager,HR,BlueWave Logistics,Ryanair,Travel,35.00,2026-06-24,"5-day onsite client engagement; covers flights and 4 nights hotel, meals billed separately",High,"The transaction involves a flight (Ryanair) without prior written approval from a Director, which is a requirement for Manager-level employees. This constitutes a High violation due to the employee's lack of basic role permissions for this transaction type.",79.64
TXN-1018,Senior,Finance,Internal / No Client,Local Pub Berlin,Entertainment,1936.00,2026-06-13,"Organized team party a group of 40, birthday celebration for a teammate",High,"The Senior employee attempted to claim a team party expense without having the necessary hosting rights, which is a clear policy violation regardless of the per-person cost being below the cap.",75.74
TXN-1019,Director,Operations,Internal / No Client,Cafe Einstein,Entertainment,93.95,2026-06-06,Project discussion,None,"The transaction is eligible for a Director employee, and the claimed amount is within the per-person cap of $100. No other policy violations were found.",39.45
TXN-1020,Executive,HR,Internal / No Client,Five Guys,Entertainment,81.11,2026-06-26,"Team lunch (1 person, no guests) to debrief after sprint retro",High,"The Executive employee submitted an 'Entertainment' claim without a named client or project attached, which is not permitted under the policy. The transaction amount ($81.11) is below the cap, but the lack of basic role permissions for this transaction type makes it an automatic High violation.",30.81
