transaction ID,Level,Amount,RAG Category,RAG violation,RAG Summary
TXN-1001,Executive,218.58,Miscellaneous,None,"Executive level can claim Software & Subscriptions,"
TXN-1002,Senior,83.89,Miscellaneous,None,Legitimate software subscription claim in Miscellaneous category
TXN-1003,Manager,380.00,Miscellaneous,None,Manager submitted non-provided category claim for client
TXN-1004,Manager,300.00,Miscellaneous,High,Manager submitted a Miscellaneous claim over $200
TXN-1005,Manager,314.16,Miscellaneous,Medium,Manager submitted non-provided category claim exceeding cap
TXN-1006,Senior,276.77,Miscellaneous,None,Senior employee's hotel claim within policy for
TXN-1007,Junior,Aug 50,Software,None,Junior employee claim for hotel WiFi is
TXN-1008,Junior,10. Oct,Miscellaneous,None,Junior employee submitted non-eligible expense: Hotel WiFi (Miscellaneous)
TXN-1009,Junior,12.00,Miscellaneous,None,Junior employee submitted Wi-Fi expense under Miscellaneous
TXN-1010,Manager,57.99,Miscellaneous,None,Manager submitted misc expense with client contact;
TXN-1011,Director,119.55,Miscellaneous,Medium,Director submitted team lunch without category specified
TXN-1012,Director,102.95,Miscellaneous,None,"Wellness expense submitted by Director, non-compliant with policy."
TXN-1013,Executive,631.24,Miscellaneous,None,Executive submitted team dinner claim exceeding $600
TXN-1014,Manager,107.04,Miscellaneous,None,Manager purchased software subscription without specifying category
TXN-1015,Manager,97.02,Miscellaneous,None,"Miscategorized transaction: Cafe Einstein under Miscellaneous, should"
TXN-1016,Junior,602.72,Miscellaneous,Medium,Junior employee submitted a meal claim exceeding
TXN-1017,Manager,35.00,Miscellaneous,High,Manager submitted unauthorized travel expense (Ryanair) without
TXN-1018,Senior,1936.00,Miscellaneous,Medium,Senior employee submitted team party claim exceeding
TXN-1019,Director,93.95,Miscellaneous,None,Director expense at Cafe Einstein (93.95) lacks
TXN-1020,Executive,81.11,Miscellaneous,Medium,Executive submitted unspecified expense for team lunch
TXN-1021,Director,272.78,Miscellaneous,Low,"Director purchased software subscription for client project,"
TXN-1022,Director,60.43,Miscellaneous,None,Director's Peloton membership not reimbursable as wellness expense
TXN-1023,Senior,236.38,Miscellaneous,None,Senior employee submitted Uber expense without specified
TXN-1024,Junior,144.84,Miscellaneous,None,"Junior employee submitted a team lunch claim,"
TXN-1025,Director,87.04,Miscellaneous,None,Director purchased software subscription without specifying category
TXN-1026,Senior,1290.56,Miscellaneous,Medium,"Team party organized by Senior employee, exceeds"
TXN-1027,Manager,174.25,Miscellaneous,Medium,Team dinner submitted under unspecified category (Violation
TXN-1028,Director,91.92,Miscellaneous,None,Wellness expense submitted under unspecified category by Director
TXN-1029,Executive,37.88,Miscellaneous,None,"Coffee/meal with client: Category not provided, compliant"
TXN-1030,Manager,68.83,Miscellaneous,None,Manager purchased Microsoft 365 subscription without specifying category.
TXN-1031,Senior,243.80,Miscellaneous,Medium,Senior employee submitted a meal expense to
TXN-1032,Junior,14.20,Miscellaneous,None,Junior employee submitted a Miscellaneous claim for
TXN-1033,Director,188.61,Miscellaneous,None,Director submitted Miscellaneous claim (IKEA purchase) without
TXN-1034,Senior,142.77,Miscellaneous,Medium,Senior employee submitted a claim without specifying
TXN-1035,Executive,95.95,Miscellaneous,Medium,Executive submitted team dinner to Local Pub
TXN-1036,Senior,129.10,Miscellaneous,Medium,Wellness expense submitted under unspecified category by
TXN-1037,Executive,222.80,Miscellaneous,High,Executive level employee submitted a Miscellaneous claim
TXN-1038,Senior,33.02,Miscellaneous,None,Solo meal by Senior employee is compliant
TXN-1039,Junior,14.99,Miscellaneous,None,Junior employee submitted a Wi-Fi claim without
TXN-1040,Manager,213.04,Miscellaneous,None,Team dinner at a pub not logged
TXN-1041,Executive,27.18,Software,None,Uncategorized Amazon purchase by Executive employee (TXN-1041).
TXN-1042,Junior,1449.30,Miscellaneous,Medium,"Junior employee organized team party, violation of"
TXN-1043,Junior,199.99,Miscellaneous,Low,Junior employee submitted hotel expense without proper
TXN-1044,Manager,210.28,Miscellaneous,None,Manager submitted Meals claim without specifying category
TXN-1045,Junior,1743.44,Miscellaneous,None,Junior employee organized team party at a
TXN-1046,Director,16.26,Miscellaneous,None,Director-level employee submitted a Miscellaneous claim for
TXN-1047,Junior,Sep 99,Miscellaneous,High,Junior employee submitted a miscellaneous claim for
TXN-1048,Director,117.94,Miscellaneous,None,Director submitted an unspecified expense at Kestrel
TXN-1049,Junior,Jun 50,Miscellaneous,None,Junior-eligible Wi-Fi claim compliant for client project trip
TXN-1050,Executive,580.52,Miscellaneous,None,Team dinner exceeds Entertainment cap for Executive
TXN-1051,Executive,247.09,Miscellaneous,High,Executive submitted a vague justification for a
TXN-1052,Junior,Nov 25,Miscellaneous,None,Junior employee claim for airport WiFi compliant
TXN-1053,Director,541.41,Miscellaneous,High,Director's travel claim exceeds policy cap for
TXN-1054,Manager,Oct 99,Miscellaneous,None,Manager submitted a miscoded meal transaction (Breakfast
TXN-1055,Manager,179.68,Miscellaneous,None,Compliant: Manager-level employee submitting a meal claim
TXN-1056,Senior,1737.68,Miscellaneous,Medium,"Senior employee organized team event, violation of"
TXN-1057,Senior,613.97,Miscellaneous,None,Senior employee's claim exceeds policy limits for
TXN-1058,Junior,13.80,Software,None,Junior employee submitted Wi-Fi expense without providing category
TXN-1059,Manager,264.91,Miscellaneous,High,Manager submitted a vague justification for cash
TXN-1060,Executive,251.60,Software,None,Executive level employee submitted a software purchase
TXN-1061,Senior,205.23,Miscellaneous,Medium,Senior employee submitted a meal claim with
TXN-1062,Senior,284.24,Miscellaneous,None,Annual Zoom license renewal falls under Software
TXN-1063,Junior,480.00,Miscellaneous,High,Junior employee submitted a $480 office furniture
TXN-1064,Senior,1403.10,Miscellaneous,Medium,Senior employee organized team event in Miscellaneous
TXN-1065,Executive,525.96,Miscellaneous,Medium,Executive submitted client dinner to Local Pub
TXN-1066,Executive,371.02,Miscellaneous,None,Executive travel for internal training exceeds policy
TXN-1067,Manager,19.63,Miscellaneous,None,Manager can submit Miscellaneous expenses for office
TXN-1068,Executive,48.78,Miscellaneous,None,Wellness expense submitted under unspecified category by
TXN-1069,Executive,137.20,Miscellaneous,Medium,Executive submitted a Miscellaneous expense without providing
TXN-1070,Junior,248.21,Miscellaneous,High,Junior employee submitted a vague justification for
TXN-1071,Director,117.20,Miscellaneous,None,Personal training expense submitted under unspecified category
TXN-1072,Director,249.12,Miscellaneous,None,"Director level can claim Software & Subscriptions,"
TXN-1073,Director,55.56,Miscellaneous,None,Director-level Figma subscription within policy limits.
TXN-1074,Manager,200.00,Miscellaneous,High,Manager submitted a Miscellaneous claim over $200
TXN-1075,Senior,253.58,Miscellaneous,High,Senior employee submitted a cash withdrawal with
TXN-1076,Junior,Jul 40,Miscellaneous,Low,Junior employee submitted Wi-Fi expense under Miscellaneous
