Transaction_ID,Date,Amount,Original_Category,ZeroShot_Category,ZeroShot_Violation,ZeroShot_Summary,FewShot_Category,FewShot_Violation,FewShot_Summary
TXN-1001,2026-06-30,218.58,Software,Software,None,Monthly software subscription for collaboration purposes,Software,None,Standard monthly software subscription renewal
TXN-1002,2026-06-23,83.89,Software,Software,None,Monthly software subscription for collaboration purposes,Software,None,Standard software subscription for collaboration
TXN-1003,2026-06-10,380.0,Entertainment,Entertainment,Low,Client dinner for proposal discussion,Entertainment,Low,Dinner with client team for proposal discussion
TXN-1004,2026-06-24,300.0,Office Supplies,Office Supplies,None,General office expenses are acceptable.,Office Supplies,Medium,Lack of detailed office supply purchase
TXN-1005,2026-06-08,314.16,Entertainment,Entertainment,None,Team dinner after work hours justified,Entertainment,None,Standard celebratory team dinner event
TXN-1006,2026-06-15,276.77,Travel,Travel,None,Onsite client engagement expenses covered by justification,Travel,None,Standard business travel expense covered
TXN-1007,2026-06-28,8.5,Wi-Fi,Wi-Fi,None,Hotel WiFi for business purposes,Wi-Fi,None,Standard client site visit WiFi
TXN-1008,2026-06-18,10.1,Wi-Fi,Wi-Fi,None,Hotel WiFi for business purposes,Wi-Fi,None,Standard hotel WiFi during client visit
TXN-1009,2026-06-07,12.0,Wi-Fi,Wi-Fi,None,Business travel WiFi usage is reasonable.,Wi-Fi,None,Standard airport business WiFi access
TXN-1010,2026-06-08,57.99,Entertainment,Entertainment,None,Client meeting expenses within budget range.,Entertainment,None,Standard corporate client meeting refreshment
TXN-1011,2026-06-06,119.55,Entertainment,Entertainment,None,Team lunch for employees only,Entertainment,None,Standard team lunch with no client involvement
TXN-1012,2026-06-28,102.95,Entertainment,Entertainment,None,Client meeting expenses within budget range.,Entertainment,None,Standard corporate client meeting refreshment
TXN-1013,2026-06-20,631.24,Entertainment,Entertainment,Low,Team dinner after work hours justified,Entertainment,Medium,High-cost team dinner lacks specific details
TXN-1014,2026-06-22,107.04,Software,Software,None,Monthly software subscription for collaboration purposes,Software,None,Standard monthly software seat renewal
TXN-1015,2026-06-11,97.02,Entertainment,Entertainment,None,Client meeting expenses for professional development,Entertainment,None,Standard client meeting expenses
TXN-1016,2026-06-09,602.72,Entertainment,Entertainment,Low,Client dinner for proposal discussion purposes only,Entertainment,Low,Dinner with client team for Q3 proposal discussion
TXN-1017,2026-06-24,35.0,Travel,Travel,None,Onsite client engagement expenses covered by justification,Travel,None,Standard travel expense for client engagement
TXN-1018,2026-06-13,1936.0,Entertainment,Entertainment,Low,Team party with 40 attendees exceeds reasonable limits,Entertainment,High,Excessive team party with unclear business value
TXN-1019,2026-06-06,93.95,Entertainment,Entertainment,Low,Unusual expense for project discussion meeting,Entertainment,Medium,Project discussion at an upscale venue
TXN-1020,2026-06-26,81.11,Entertainment,Entertainment,None,Team lunch for debriefing purposes only,Entertainment,None,Standard team lunch meeting expense
TXN-1021,2026-06-07,272.78,Software,Software,None,Client project software subscription expense,Software,None,Standard software subscription for client projects
TXN-1022,2026-06-27,60.43,Entertainment,Entertainment,None,Monthly gym membership for employee wellness,Entertainment,None,Standard monthly gym membership fee
TXN-1023,2026-06-19,236.38,Travel,Travel,None,Onsite client engagement expenses covered by justification,Travel,None,Standard business travel expense covered
TXN-1024,2026-06-16,144.84,Entertainment,Entertainment,None,Team lunch for strategic planning meeting,Entertainment,High,Excessive team lunch cost without clear business purpose
TXN-1025,2026-06-28,87.04,Software,Software,None,Client project software subscription expense,Software,None,Standard software subscription for client projects
