transaction ID,Level,Amount,RAG Category,RAG violation,RAG Summary
TXN-1001,Executive,218.58,Software,None,"Executive level, software subscription within policy limits."
TXN-1002,Senior,83.89,Software,None,"Software subscription - design/collaboration tool, monthly seat"
TXN-1003,Manager,380.00,Travel,None,Dinner with client team (4 people) mapped
TXN-1004,Manager,300.00,Office Supplies,Medium,Missing specific item details for Officeworks purchase
TXN-1005,Manager,314.16,Miscellaneous,Medium,Team dinner not mapped to correct category
TXN-1006,Senior,276.77,Miscellaneous,None,2-day client engagement: Flights & Hotel mapped
TXN-1007,Junior,Aug 50,Wi-Fi/Connectivity,None,Junior employee's Wi-Fi claim compliant for business travel
TXN-1008,Junior,10. Oct,Miscellaneous,None,Junior employee submitted Wi-Fi expense during client
TXN-1009,Junior,12.00,Wi-Fi/Connectivity,None,Junior employee claim compliant: Airport WiFi while
TXN-1010,Manager,57.99,Miscellaneous,None,Coffee/meal with client not mapped to a
TXN-1011,Director,119.55,Miscellaneous,Medium,"Team lunch not mapped to 'Meals', internal"
TXN-1012,Director,102.95,Miscellaneous,None,Coffee/meal with client contact - Mapped to Miscellaneous
TXN-1013,Executive,631.24,Miscellaneous,High,Executive submitted team dinner without specifying category
TXN-1014,Manager,107.04,Software,None,Manager-level software subscription compliant
TXN-1015,Manager,97.02,Miscellaneous,None,Coffee/meal with client - Map to Meals category
TXN-1016,Junior,602.72,Miscellaneous,Medium,"Junior employee submitted client dinner claim, violation"
TXN-1017,Manager,35.00,Travel,None,"Manager flight within travel cap, hotel not specified"
TXN-1018,Senior,1936.00,Miscellaneous,Medium,"Team party exceeds $100 per person limit,"
TXN-1019,Director,93.95,Meals,None,Director meal expense not categorized; justified as
TXN-1020,Executive,81.11,Miscellaneous,Medium,Team lunch not mapped to correct category
TXN-1021,Director,272.78,Software,None,Adobe software subscription for client project
TXN-1022,Director,60.43,Miscellaneous,High,Wellness costs are not reimbursable for Directors
TXN-1023,Senior,236.38,Miscellaneous,None,Uber expense exceeds ground transport cap for
TXN-1024,Junior,144.84,Miscellaneous,High,Unauthorized team lunch by Junior employee
TXN-1025,Director,87.04,Software,None,Software Subscription (Client Project) - Eligible for
TXN-1026,Senior,1290.56,Miscellaneous,High,"Team party organized by Senior employee, exceeding"
TXN-1027,Manager,174.25,Miscellaneous,Medium,Team dinner at a pub mapped incorrectly
TXN-1028,Director,91.92,Miscellaneous,High,Wellness expense not reimbursable for Director level
TXN-1029,Executive,37.88,Meals,None,Executive can claim meals with clients (37.88
TXN-1030,Manager,68.83,Software,None,Annual Microsoft 365 license renewal for department
TXN-1031,Senior,243.80,Meals,None,Client meal with Chutnify Neukölln compliant.
TXN-1032,Junior,14.20,Wi-Fi/Connectivity,None,Junior employee's Wi-Fi expense valid for business travel.
TXN-1033,Director,188.61,Office Supplies,None,Office supplies within limit for Director level
TXN-1034,Senior,142.77,Miscellaneous,Medium,Unspecified category for Senior employee's meal at
TXN-1035,Executive,95.95,Miscellaneous,Medium,Team dinner at a pub mapped incorrectly
TXN-1036,Senior,129.10,Miscellaneous,None,Coffee/meal with client (5 people) mapped to
TXN-1037,Executive,222.80,Office Supplies,None,Executive level allowed for Office Supplies up
TXN-1038,Senior,33.02,Meals,None,Solo meal within policy for Senior employees
