Transaction_ID;Employee_Level;Department;Client;Merchant;Amount;Justification;Date
TXN-1001;Executive;Engineering;Atlas Capture;GitHub;218.58;Software subscription - design/collaboration tool, monthly seat renewal;30.06.26
TXN-1002;Senior;Finance;Internal / No Client;Notion;83.89;Software subscription - design/collaboration tool, monthly seat renewal;23.06.26
TXN-1003;Manager;Marketing;BlueWave Logistics;Vapiano;380.00;Dinner with client team (4 people) to finalize Q3 proposal;10.06.26
TXN-1004;Manager;Engineering;Internal / No Client;Officeworks;300.00;general purchase;24.06.26
TXN-1005;Manager;HR;Internal / No Client;Cafe Einstein;314.16;Team dinner a group of 2 after closing out the sprint;08.06.26
TXN-1006;Senior;Finance;Meridian Health Systems;Marriott;276.77;"2-day onsite client engagement; covers flights and 1 night hotel, meals billed separately";15.06.26
TXN-1007;Junior;Marketing;Internal / No Client;Hotel WiFi;Aug 50;Hotel WiFi during client site visit;28.06.26
TXN-1008;Junior;Sales;Atlas Capture;T-Mobile Hotspot;10. Oct;Hotel WiFi during client site visit;18.06.26
TXN-1009;Junior;Operations;Internal / No Client;Airport WiFi;12.00;Airport WiFi while traveling for business;07.06.26
TXN-1010;Manager;Operations;Atlas Capture;Hilton Restaurant;57.99;Coffee/meal with client contact a group of 3 following a successful sprint demo;08.06.26
TXN-1011;Director;Finance;Internal / No Client;Cafe Einstein;119.55;Team lunch team of 5 catch-up, no client involved;06.06.26
TXN-1012;Director;Sales;Kestrel Finance Partners;Cafe Einstein;102.95;Coffee/meal with client contact a group of 5 following a successful sprint demo;28.06.26
TXN-1013;Executive;Finance;Internal / No Client;Hilton Restaurant;631.24;Team dinner 4 of us after closing out the sprint;20.06.26
TXN-1014;Manager;Operations;BlueWave Logistics;Notion;107.04;Software subscription - design/collaboration tool, monthly seat renewal;22.06.26
TXN-1015;Manager;Finance;Atlas Capture;Cafe Einstein;97.02;Coffee/meal with client contact (3 people) to review project milestones;11.06.26
TXN-1016;Junior;HR;Meridian Health Systems;Chutnify Neukölln;602.72;Dinner with client team team of 4 to finalize Q3 proposal;09.06.26
TXN-1017;Manager;HR;BlueWave Logistics;Ryanair;35.00;"5-day onsite client engagement; covers flights and 4 nights hotel, meals billed separately";24.06.26
TXN-1018;Senior;Finance;Internal / No Client;Local Pub Berlin;1936.00;Organized team party a group of 40, birthday celebration for a teammate;13.06.26
TXN-1019;Director;Operations;Internal / No Client;Cafe Einstein;93.95;Project discussion;06.06.26
TXN-1020;Executive;HR;Internal / No Client;Five Guys;81.11;Team lunch (1 person, no guests) to debrief after sprint retro;26.06.26
TXN-1021;Director;Finance;Meridian Health Systems;Adobe;272.78;Software subscription - used for client project deliverables;07.06.26
TXN-1022;Director;Sales;Internal / No Client;Peloton;60.43;Monthly gym membership - stress relief;27.06.26
TXN-1023;Senior;Engineering;Nova Retail GmbH;Uber;236.38;"2-day onsite client engagement; covers flights and 1 night hotel, meals billed separately";19.06.26
TXN-1024;Junior;Sales;Internal / No Client;Vapiano;144.84;Team lunch a group of 3 to plan next quarter's roadmap;16.06.26
TXN-1025;Director;IT;BlueWave Logistics;Figma;87.04;Software subscription - used for client project deliverables;28.06.26
TXN-1026;Senior;Engineering;Internal / No Client;Local Pub Berlin;1290.56;Organized team party a group of 37, project wrap-up party;24.06.26
TXN-1027;Manager;Finance;Internal / No Client;Local Pub Berlin;174.25;Team dinner a group of 3 after project close;05.06.26
TXN-1028;Director;Finance;Internal / No Client;FitX Gym;91.92;Wellness subscription;20.06.26
TXN-1029;Executive;Engineering;BlueWave Logistics;Cafe Einstein;37.88;Coffee/meal with client contact (2 people) to review project milestones;15.06.26
TXN-1030;Manager;IT;Internal / No Client;Microsoft 365;68.83;Software subscription - annual license renewal for the department;29.06.26
TXN-1031;Senior;Engineering;Kestrel Finance Partners;Chutnify Neukölln;243.80;Coffee/meal with client contact 4 of us to review project milestones;06.06.26
TXN-1032;Junior;Engineering;Meridian Health Systems;Local SIM Provider;14.20;Airport WiFi while traveling for business;24.06.26
TXN-1033;Director;Sales;Internal / No Client;IKEA;188.61;Monitor for hybrid home/office setup;30.06.26
TXN-1034;Senior;Marketing;Internal / No Client;Cafe Einstein;142.77;Meeting;21.06.26
TXN-1035;Executive;Operations;Internal / No Client;Local Pub Berlin;95.95;Team dinner 3 of us after project close;29.06.26
TXN-1036;Senior;Engineering;Atlas Capture;Cafe Einstein;129.10;Coffee/meal with client contact (5 people) following a successful sprint demo;25.06.26
TXN-1037;Executive;Engineering;Internal / No Client;Officeworks;222.80;Monitor for hybrid home/office setup;15.06.26
TXN-1038;Senior;Finance;Internal / No Client;Five Guys;33.02;Solo lunch while working late on month-end close;03.06.26
TXN-1039;Junior;Engineering;BlueWave Logistics;Boingo Wireless;14.99;Hotel WiFi during business travel;19.06.26
TXN-1040;Manager;Finance;Internal / No Client;Local Pub Berlin;213.04;Team dinner 2 of us after closing out the sprint;14.06.26
TXN-1041;Executive;Engineering;BlueWave Logistics;Amazon;27.18;Small hardware adapter needed for client presentation;14.06.26
TXN-1042;Junior;IT;Internal / No Client;Local Pub Berlin;1449.30;Organized team party (30 people), project wrap-up party;13.06.26
TXN-1043;Junior;Operations;BlueWave Logistics;Hilton;199.99;Cab ride, was running late for the client meeting;19.06.26
TXN-1044;Manager;IT;Kestrel Finance Partners;Chutnify Neukölln;210.28;Dinner with client team a group of 2 to finalize Q3 proposal;26.06.26
